ward code,ward name,local authority code,local authority name,All Households,deprived in: no dimensions,1 dimension,2 dimensions,3 dimensions,4 dimensions
E05009368,Cazenove,E09000012,Hackney,5157,2024,1884,848,367,34
E05009369,Clissold,E09000012,Hackney,5428,2827,1630,714,227,30
E05009370,Dalston,E09000012,Hackney,4060,2235,1168,464,172,21
E05009371,De Beauvoir,E09000012,Hackney,3993,2056,1228,515,174,20
E05009372,Hackney Central,E09000012,Hackney,5764,2512,1844,962,412,34
E05009373,Hackney Downs,E09000012,Hackney,5369,2304,1757,940,333,35
E05009374,Hackney Wick,E09000012,Hackney,4987,1975,1643,966,363,40
E05009375,Haggerston,E09000012,Hackney,6270,2895,1915,1047,372,41
E05009376,Homerton,E09000012,Hackney,5218,2071,1809,945,366,27
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,5537,2836,1706,728,244,23
E05009378,Hoxton West,E09000012,Hackney,6302,3133,1952,859,327,31
E05009379,King's Park,E09000012,Hackney,5043,1992,1703,951,367,30
E05009380,Lea Bridge,E09000012,Hackney,5486,2396,1810,926,331,23
E05009381,London Fields,E09000012,Hackney,5424,2553,1622,893,328,28
E05009382,Shacklewell,E09000012,Hackney,3637,1617,1176,603,222,19
E05009383,Springfield,E09000012,Hackney,5223,1692,2042,1028,402,59
E05009384,Stamford Hill West,E09000012,Hackney,3266,1288,1225,550,180,23
E05009385,Stoke Newington,E09000012,Hackney,5654,2823,1691,826,289,25
E05009386,Victoria,E09000012,Hackney,5213,2305,1696,831,362,19
E05009387,Woodberry Down,E09000012,Hackney,4990,2162,1639,861,306,22
E05013733,Addison,E09000013,Hammersmith and Fulham,3815,1820,1288,512,176,19
E05013734,Avonmore,E09000013,Hammersmith and Fulham,3661,1817,1211,483,131,19
E05013735,Brook Green,E09000013,Hammersmith and Fulham,3801,2098,1162,404,126,11
E05013736,College Park & Old Oak,E09000013,Hammersmith and Fulham,3885,1483,1408,720,253,21
E05013737,Coningham,E09000013,Hammersmith and Fulham,4911,2245,1591,766,263,46
E05013738,Fulham Reach,E09000013,Hammersmith and Fulham,5081,2645,1596,636,188,16
E05013739,Fulham Town,E09000013,Hammersmith and Fulham,3398,2144,887,281,80,6
E05013740,Grove,E09000013,Hammersmith and Fulham,3451,1936,1024,364,114,13
E05013741,Hammersmith Broadway,E09000013,Hammersmith and Fulham,3489,1659,1124,514,173,19
E05013742,Lillie,E09000013,Hammersmith and Fulham,3186,1580,999,450,141,16
E05013743,Munster,E09000013,Hammersmith and Fulham,5423,3273,1450,515,160,25
E05013744,Palace & Hurlingham,E09000013,Hammersmith and Fulham,4797,2897,1342,444,99,15
E05013745,Parsons Green & Sandford,E09000013,Hammersmith and Fulham,3213,2114,753,259,85,2
E05013746,Ravenscourt,E09000013,Hammersmith and Fulham,3106,1678,929,352,130,17
E05013747,Sands End,E09000013,Hammersmith and Fulham,5059,2734,1558,594,156,17
E05013748,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,2664,1017,943,514,159,31
E05013749,Walham Green,E09000013,Hammersmith and Fulham,3497,1761,1063,489,162,22
E05013750,Wendell Park,E09000013,Hammersmith and Fulham,3168,1727,946,354,124,17
E05013751,West Kensington,E09000013,Hammersmith and Fulham,4604,2128,1573,676,204,23
E05013752,White City,E09000013,Hammersmith and Fulham,4132,1692,1464,708,241,27
E05013753,Wormholt,E09000013,Hammersmith and Fulham,2934,1308,937,512,162,15
E05013585,Alexandra Park,E09000014,Haringey,3413,2013,1026,296,71,7
E05013586,Bounds Green,E09000014,Haringey,4071,1753,1399,691,210,18
E05013587,Bruce Castle,E09000014,Haringey,5299,1618,1945,1252,440,44
E05013588,Crouch End,E09000014,Haringey,6046,3434,1842,590,162,18
E05013589,Fortis Green,E09000014,Haringey,5009,2928,1489,478,104,10
E05013590,Harringay,E09000014,Haringey,6122,2636,2133,994,303,56
E05013591,Hermitage & Gardens,E09000014,Haringey,3257,1251,1145,636,204,21
E05013592,Highgate,E09000014,Haringey,5680,3465,1577,496,131,11
E05013593,Hornsey,E09000014,Haringey,6582,3443,1969,871,281,18
E05013594,Muswell Hill,E09000014,Haringey,3853,2222,1219,331,74,7
E05013595,Noel Park,E09000014,Haringey,5331,1952,1858,1114,363,44
E05013596,Northumberland Park,E09000014,Haringey,5694,1635,2106,1394,490,69
E05013597,St Ann's,E09000014,Haringey,3951,1489,1414,753,277,18
E05013598,Seven Sisters,E09000014,Haringey,3546,1183,1321,765,261,16
E05013599,South Tottenham,E09000014,Haringey,5610,1999,2135,1104,341,31
E05013600,Stroud Green,E09000014,Haringey,4983,2633,1506,622,208,14
E05013601,Tottenham Central,E09000014,Haringey,5875,2207,2160,1094,370,44
E05013602,Tottenham Hale,E09000014,Haringey,3916,1527,1376,754,234,25
E05013603,West Green,E09000014,Haringey,5750,2198,2044,1100,361,47
E05013604,White Hart Lane,E09000014,Haringey,4912,1702,1693,1079,412,26
