ward code,ward name,local authority code,local authority name,All usual residents,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
E05013511,Sudbury,E09000005,Brent,13787,921,818,843,816,976,1226,1297,1133,1057,1000,846,775,616,474,364,261,197,167
E05013512,Tokyngton,E09000005,Brent,9931,442,546,569,651,717,798,819,768,664,648,626,618,602,434,286,272,255,216
E05013513,Welsh Harp,E09000005,Brent,18254,1155,1093,1182,1088,1245,1423,1352,1403,1365,1236,1222,1154,954,690,563,476,332,321
E05013514,Wembley Central,E09000005,Brent,18018,1060,1038,1070,1153,1387,1614,1676,1488,1332,1260,1081,1075,836,680,468,292,264,244
E05013515,Wembley Hill,E09000005,Brent,15510,832,889,884,801,1097,1358,1429,1418,1212,1203,1102,869,767,527,379,263,228,252
E05013516,Wembley Park,E09000005,Brent,7651,425,304,216,891,1536,1172,1085,737,431,308,187,146,77,54,30,28,14,10
E05013517,Willesden Green,E09000005,Brent,19200,1110,1065,1035,980,1409,1871,1822,1711,1504,1322,1361,1078,844,657,508,397,254,272
E05013987,Beckenham Town & Copers Cope,E09000006,Bromley,16054,993,806,673,501,544,1145,1606,1566,1514,1172,1069,935,741,644,753,561,363,468
E05013988,Bickley & Sundridge,E09000006,Bromley,17804,934,1070,1200,886,679,914,1037,1177,1310,1348,1397,1228,1044,865,880,681,542,612
E05013989,Biggin Hill,E09000006,Bromley,10917,549,625,653,621,538,534,617,677,628,673,760,791,708,601,744,539,354,305
E05013990,Bromley Common & Holwood,E09000006,Bromley,18989,1217,1281,1233,1082,869,1060,1370,1476,1418,1394,1370,1299,963,752,774,522,406,503
E05013991,Bromley Town,E09000006,Bromley,15798,1008,969,855,652,729,1294,1567,1473,1291,1110,1024,909,723,540,586,427,290,351
E05013992,Chelsfield,E09000006,Bromley,11524,624,817,726,653,471,456,601,836,913,832,782,767,715,582,639,455,317,338
E05013993,Chislehurst,E09000006,Bromley,15533,876,948,1006,822,628,682,916,1038,1133,1068,1136,1089,888,715,791,632,478,687
E05013994,Clock House,E09000006,Bromley,17110,1214,1077,1021,769,601,960,1405,1661,1598,1452,1224,1083,887,654,592,376,267,269
E05013995,Crystal Palace & Anerley,E09000006,Bromley,12075,834,616,569,590,512,1086,1514,1315,1021,936,833,686,485,340,276,185,108,169
E05013996,Darwin,E09000006,Bromley,5502,222,291,335,310,245,240,237,256,316,359,455,435,401,330,387,305,178,200
E05013997,Farnborough & Crofton,E09000006,Bromley,17780,796,1174,1228,1022,839,805,800,998,1262,1269,1319,1267,1007,887,1007,743,654,703
E05013998,Hayes & Coney Hall,E09000006,Bromley,15784,693,976,1223,987,801,621,598,839,1117,1213,1265,1237,959,782,952,599,436,486
E05013999,Kelsey & Eden Park,E09000006,Bromley,15464,775,921,1141,842,736,723,737,913,1123,1191,1230,1186,963,720,787,566,418,492
E05014000,Mottingham,E09000006,Bromley,11533,799,805,816,670,561,637,852,939,960,782,776,741,607,430,416,287,230,225
E05014001,Orpington,E09000006,Bromley,12270,708,737,802,694,566,647,776,861,868,691,922,814,700,561,635,533,354,401
E05014002,Penge & Cator,E09000006,Bromley,19086,1257,1157,1093,959,876,1362,1711,1882,1566,1559,1403,1191,919,687,571,424,244,225
E05014003,Petts Wood & Knoll,E09000006,Bromley,16890,1018,1139,1001,799,659,723,907,1189,1290,1182,1205,1149,973,898,928,811,514,505
E05014004,Plaistow,E09000006,Bromley,12829,815,849,828,659,587,736,905,1063,949,941,905,861,735,518,556,352,279,291
E05014005,Shortlands & Park Langley,E09000006,Bromley,16678,1000,1099,1076,787,654,882,1057,1274,1343,1254,1143,1144,898,757,847,606,389,468
E05014006,St Mary Cray,E09000006,Bromley,18649,1208,1233,1180,1035,941,1145,1369,1359,1225,1198,1371,1213,1065,778,794,605,460,470
E05014007,St Paul's Cray,E09000006,Bromley,16976,1263,1191,1236,1050,940,1046,1208,1230,1194,1105,1195,1142,874,636,625,428,338,275
E05014008,West Wickham,E09000006,Bromley,14750,691,867,1022,837,688,632,615,778,1011,965,1139,1164,1032,782,826,620,479,602
E05013652,Belsize,E09000007,Camden,12117,722,671,571,391,581,1069,1361,1207,1110,943,833,621,486,403,387,322,215,224
E05013653,Bloomsbury,E09000007,Camden,11395,250,239,224,2141,2172,1205,865,596,516,513,526,528,429,320,302,240,165,164
E05013654,Camden Square,E09000007,Camden,7098,304,300,346,341,868,823,822,569,440,400,448,372,330,251,198,141,81,64
E05013655,Camden Town,E09000007,Camden,6812,277,277,302,409,847,886,707,536,463,369,431,402,314,177,157,122,79,57
E05013656,Fortune Green,E09000007,Camden,11572,599,566,627,511,782,1422,1230,1020,904,841,719,605,428,378,360,267,176,137
E05013657,Frognal,E09000007,Camden,7716,472,442,465,397,363,609,615,610,632,587,566,456,327,276,280,274,185,160
E05013658,Gospel Oak,E09000007,Camden,11741,595,613,654,631,748,1173,1134,917,792,772,806,762,610,421,421,286,210,196
E05013659,Hampstead Town,E09000007,Camden,8097,413,477,429,347,327,508,672,628,640,654,630,488,425,333,385,330,208,203
E05013660,Haverstock,E09000007,Camden,11972,638,624,706,717,1048,1205,1160,976,804,764,741,642,525,390,382,247,202,201
E05013661,Highgate,E09000007,Camden,10212,428,479,619,597,560,767,713,660,665,706,775,772,625,506,531,360,249,200
E05013662,Holborn & Covent Garden,E09000007,Camden,10321,354,399,398,542,1409,1171,926,730,644,619,680,713,520,402,339,219,126,130
E05013663,Kentish Town North,E09000007,Camden,7296,343,308,340,296,553,923,797,623,552,472,478,436,337,289,208,166,83,92
E05013664,Kentish Town South,E09000007,Camden,10322,437,505,569,688,1059,1134,1067,798,707,597,659,567,432,330,292,217,140,124
E05013665,Kilburn,E09000007,Camden,11990,661,622,667,676,867,1274,1224,996,854,811,770,687,471,405,410,259,179,157
E05013666,King's Cross,E09000007,Camden,11440,476,432,426,1202,2068,1355,1100,793,631,575,525,510,409,317,270,137,116,98
E05013667,Primrose Hill,E09000007,Camden,12432,700,690,675,680,702,985,1065,978,896,846,898,750,620,494,487,389,274,303
E05013668,Regent's Park,E09000007,Camden,11899,533,560,645,1007,1662,1177,1029,782,688,689,742,725,479,378,282,213,157,151
E05013669,St Pancras & Somers Town,E09000007,Camden,12453,601,669,730,1148,1816,1182,1034,846,734,695,707,646,518,377,280,208,145,117
E05013670,South Hampstead,E09000007,Camden,12061,688,581,570,528,866,1457,1513,1163,986,805,719,526,467,345,295,239,148,165
E05013671,West Hampstead,E09000007,Camden,11186,562,418,424,491,865,1685,1526,1118,826,702,608,542,390,334,282,192,125,96
E05011462,Addiscombe East,E09000008,Croydon,11794,780,612,620,565,647,833,976,941,827,767,869,863,698,553,510,304,241,188
E05011463,Addiscombe West,E09000008,Croydon,15672,1153,1014,815,738,863,1300,1782,1591,1228,1046,977,888,651,487,392,288,248,211
E05011464,Bensham Manor,E09000008,Croydon,16923,1013,1061,1207,1139,994,1172,1404,1259,1193,1070,1199,1271,981,643,493,328,266,230
E05011465,Broad Green,E09000008,Croydon,20096,1477,1524,1508,1367,1337,1509,1702,1643,1485,1413,1459,1180,867,570,406,272,204,173
E05011466,Coulsdon Town,E09000008,Croydon,15257,1149,1054,975,806,718,839,1237,1323,1177,992,964,959,734,659,649,425,321,276
E05011467,Crystal Palace & Upper Norwood,E09000008,Croydon,16271,1110,940,939,736,700,1089,1571,1491,1434,1257,1151,1032,824,603,495,376,254,269
E05011468,Fairfield,E09000008,Croydon,15775,1261,869,631,516,1142,2393,2422,1810,1245,939,788,598,424,240,172,152,94,79
E05011469,Kenley,E09000008,Croydon,10383,605,646,654,519,481,519,650,755,704,722,791,738,637,517,489,374,251,331
E05011470,New Addington North,E09000008,Croydon,11121,644,988,1218,1111,746,639,610,650,693,818,775,654,456,334,274,230,158,123
E05011471,New Addington South,E09000008,Croydon,11194,647,816,934,812,695,648,726,719,675,784,848,802,573,445,408,266,207,189
E05011472,Norbury & Pollards Hill,E09000008,Croydon,12458,747,699,763,718,711,940,1086,964,954,841,833,831,659,481,417,320,238,256
E05011473,Norbury Park,E09000008,Croydon,10555,544,613,690,639,612,715,718,722,708,688,693,760,647,503,460,319,271,253
E05011474,Old Coulsdon,E09000008,Croydon,9763,587,600,629,503,438,421,514,695,651,591,656,693,606,525,574,481,282,317
E05011475,Park Hill & Whitgift,E09000008,Croydon,5764,357,352,325,235,227,336,512,556,515,379,281,304,295,240,244,208,182,216
E05011476,Purley & Woodcote,E09000008,Croydon,16544,975,970,979,827,778,1051,1274,1235,1188,1014,1079,1163,936,834,756,562,415,508
E05011477,Purley Oaks & Riddlesdown,E09000008,Croydon,10519,668,644,664,534,532,682,788,865,785,710,726,738,587,479,422,313,218,164
E05011478,Sanderstead,E09000008,Croydon,15526,806,940,1006,802,706,643,724,939,1139,1013,1124,1114,1004,875,996,637,502,556
E05011479,Selhurst,E09000008,Croydon,12930,979,1005,870,850,776,1012,1060,1064,1012,869,990,674,553,383,311,217,168,137
E05011480,Selsdon & Addington Village,E09000008,Croydon,10331,478,582,646,659,549,576,555,594,649,633,767,793,680,532,606,424,313,295
E05011481,Selsdon Vale & Forestdale,E09000008,Croydon,9659,588,633,558,445,463,563,613,711,681,580,647,679,577,553,610,334,211,213
E05011482,Shirley North,E09000008,Croydon,15326,811,863,1011,883,862,957,934,963,950,871,1167,1179,942,747,782,592,428,384
E05011483,Shirley South,E09000008,Croydon,10811,494,660,784,744,647,584,520,562,610,698,797,822,730,573,562,424,287,313
E05011484,South Croydon,E09000008,Croydon,17201,1253,1024,989,746,809,1478,1843,1643,1444,1161,1115,1046,743,581,506,338,249,233
E05011485,South Norwood,E09000008,Croydon,16538,1140,988,1049,891,858,1241,1550,1560,1289,1154,1147,1043,840,528,440,312,244,264
E05011486,Thornton Heath,E09000008,Croydon,17936,1159,1142,1149,1207,1084,1290,1318,1387,1337,1269,1400,1311,992,625,497,330,230,209
E05011487,Waddon,E09000008,Croydon,18499,1267,1327,1321,1134,1014,1366,1686,1659,1406,1295,1227,1118,793,538,444,325,275,304
E05011488,West Thornton,E09000008,Croydon,18795,1354,1346,1391,1132,1264,1484,1376,1411,1321,1254,1370,1200,948,633,452,357,261,241
E05011489,Woodside,E09000008,Croydon,17041,1116,1045,1085,1068,963,1280,1486,1453,1325,1126,1252,1321,935,562,411,246,203,164
E05013518,Central Greenford,E09000009,Ealing,13970,765,800,927,845,825,1002,1069,1137,1183,985,1013,870,746,543,429,333,259,239
E05013519,Dormers Wells,E09000009,Ealing,15153,835,1014,1095,1083,978,1022,1047,1089,1084,1107,972,931,777,663,509,357,318,272
E05013520,Ealing Broadway,E09000009,Ealing,14243,790,727,615,489,799,1495,1579,1352,1187,996,924,813,675,512,448,339,238,265
E05013521,Ealing Common,E09000009,Ealing,15788,759,696,723,667,1144,1573,1511,1488,1175,1116,967,993,755,693,597,384,270,277
E05013522,East Acton,E09000009,Ealing,16026,937,870,980,843,1282,1815,1736,1343,1123,982,1065,887,573,480,420,268,231,191
E05013523,Greenford Broadway,E09000009,Ealing,17046,1095,1172,1276,1120,1009,1156,1352,1339,1482,1132,1200,944,788,565,477,357,307,275
E05013524,Hanger Hill,E09000009,Ealing,16818,1042,1070,1021,705,877,1317,1375,1515,1466,1231,1143,833,732,690,672,475,325,329
E05013525,Hanwell Broadway,E09000009,Ealing,15104,944,978,1008,794,780,1080,1291,1349,1395,1226,1060,914,657,532,421,291,197,187
E05013526,Lady Margaret,E09000009,Ealing,16116,843,991,1114,976,951,1191,1158,1272,1203,1114,1028,1051,1018,682,524,370,326,304
E05013527,North Acton,E09000009,Ealing,18378,865,932,957,1954,1882,1797,1570,1518,1386,1132,980,875,740,551,415,289,247,288
E05013528,North Greenford,E09000009,Ealing,16146,854,889,995,964,939,1220,1451,1470,1271,1111,1019,957,915,650,538,398,278,227
E05013529,North Hanwell,E09000009,Ealing,15043,840,1034,1182,1043,813,945,917,1075,1238,1217,1091,987,731,581,477,380,244,248
E05013530,Northfield,E09000009,Ealing,14431,818,951,1014,694,711,869,1001,1188,1235,1171,1132,943,687,592,505,387,289,244
E05013531,Northolt Mandeville,E09000009,Ealing,17374,1097,1139,1251,1189,1017,1253,1364,1334,1330,1306,1193,1032,853,636,557,342,242,239
